SAMPLE;Pb212_A_SP_238_keV;Pb212_ERR;Ac228_A_SP_338_keV;Ac228_A_SP_338_keV_ERR;Ac228_A_SP_911_keV;Ac228_A_SP_911_keV_ERR;Ac228_A_SP_969_kev;Ac228_A_SP_969_kev_ERR;Tl208_A_SP_583_keV;Tl208_A_SP_583_keV_ERR;Tl208_A_SP_2615_keV;Tl208_A_SP_2615_keV_ERR;Pb214_A_SP_295_keV;Pb214_A_SP_295_keV_ERR;Pb214_A_SP_351_keV;Pb214_A_SP_351_keV_ERR;Bi214_A_SP_609_keV;Bi214_A_SP_609_keV_ERR;Bi214_A_SP_1120_keV;Bi214_A_SP_1120_keV_ERR;A_SP_1764_keV;A_SP_1764_keV_ERR;K40_A_SP_1460_keV;K40_A_SP_1460_keV_ERR;Cs137_A_SP_661_keV;Cs137_A_SP_661_keV_ERR
18_001;35.80;0.80;31.42;1.19;37.60;1.78;35.56;2.04;38.98;1.59;34.42;2.67;33.08;1.04;32.66;0.86;30.86;1.04;31.64;2.99;31.76;3.07;47.36;1.87;5.35;0.21
18_013;35.27;0.64;29.94;0.92;36.29;1.42;35.42;1.68;35.75;1.30;34.03;2.24;32.01;0.83;32.57;0.71;29.52;0.86;30.03;2.23;33.30;2.64;43.21;1.58;8.40;0.24
18_017;40.53;0.87;33.44;1.21;39.71;1.78;40.58;2.17;38.59;1.45;36.95;2.67;35.06;1.04;36.41;0.89;31.97;0.99;34.23;3.05;32.66;3.01;53.58;2.19;7.42;0.29
18_035;33.26;0.71;27.60;1.00;33.80;1.49;35.38;1.86;32.58;1.22;32.94;2.33;31.01;0.90;30.63;0.75;27.79;0.85;31.23;2.70;30.93;2.75;41.35;1.71;6.78;0.26
18_043;36.57;0.74;32.07;1.10;36.90;1.58;37.81;1.93;37.98;1.37;35.96;2.49;31.92;0.91;31.69;0.75;28.66;0.86;28.64;2.58;30.18;2.68;49.66;2.00;5.23;0.21
18_055;32.95;0.72;28.15;1.02;32.00;1.46;34.02;1.84;33.88;1.26;31.91;2.30;30.21;0.90;29.94;0.74;27.17;0.84;28.34;2.57;31.40;2.77;42.67;1.76;8.39;0.31
18_063;31.66;0.57;26.38;0.81;31.63;1.21;30.65;1.42;31.11;1.04;29.60;1.86;27.72;0.71;28.44;0.60;25.44;0.69;24.68;1.91;28.49;2.20;42.99;1.67;8.29;0.26
18_071;32.10;0.67;29.10;1.01;34.30;1.48;30.78;1.64;33.31;1.22;30.00;2.11;28.95;0.83;29.71;0.71;26.32;0.80;27.17;2.40;29.34;2.57;45.14;1.82;5.71;0.22
18_101;30.71;0.72;26.51;1.04;33.02;1.60;32.26;1.89;30.42;1.28;28.28;2.25;28.52;0.93;28.93;0.78;25.76;0.89;26.05;2.57;26.30;2.66;41.16;1.64;6.92;0.26
18_107;31.26;0.68;26.71;0.99;31.92;1.45;31.70;1.73;31.09;1.17;28.32;2.09;28.06;0.85;28.92;0.72;25.40;0.79;25.40;2.37;28.11;2.57;41.98;1.73;8.71;0.32
18_119;31.68;0.69;26.14;0.98;31.77;1.44;33.21;1.79;32.85;1.23;28.34;2.09;29.19;0.88;27.52;0.70;26.01;0.81;24.97;2.40;26.22;2.45;42.52;1.75;7.75;0.29
18_131;32.12;0.69;27.18;1.00;32.92;1.47;32.75;1.76;32.05;1.20;29.57;2.12;28.96;0.87;27.88;0.70;25.40;0.79;27.17;2.50;27.28;2.53;41.38;1.71;8.28;0.30
18_141;31.18;0.67;27.06;0.98;33.35;1.50;30.37;1.65;29.80;1.12;29.42;2.13;27.49;0.82;28.87;0.72;26.21;0.83;27.41;2.54;27.72;2.45;41.85;1.76;8.26;0.30
18_157;30.76;0.56;27.23;0.85;32.04;1.25;32.73;1.51;29.83;1.02;31.27;1.96;27.75;0.71;28.14;0.61;25.06;0.71;26.97;2.09;24.36;1.91;41.05;1.64;5.27;0.18
18_177;31.19;0.72;26.81;1.05;31.36;1.54;31.09;1.83;31.81;1.32;29.43;2.32;30.04;0.96;28.28;0.76;26.37;0.90;27.95;2.68;28.63;2.78;43.54;1.72;6.94;0.25
18_193;32.29;0.83;26.95;1.19;33.86;1.81;30.82;2.01;32.26;1.44;31.36;2.68;29.91;1.07;29.40;0.87;26.31;0.98;24.92;2.89;27.53;3.03;45.81;1.89;7.33;0.30
18_201;29.58;0.78;26.48;1.18;30.96;1.70;28.52;1.90;28.73;1.23;27.54;2.31;26.51;1.06;27.48;0.86;24.44;0.89;21.67;2.66;25.63;2.73;42.59;1.75;8.12;0.32
18_205;27.81;0.48;24.45;0.73;29.68;1.11;29.46;1.32;26.21;0.88;26.06;1.64;26.12;0.78;26.02;0.60;24.26;0.66;24.24;1.76;24.88;1.85;44.09;1.55;6.99;0.19
18_211;27.90;0.50;24.19;0.74;28.20;1.06;28.89;1.31;26.26;0.84;28.25;1.71;26.38;0.66;26.17;0.54;22.75;0.59;24.80;1.85;27.33;2.02;44.21;1.84;9.75;0.32
18_239;30.54;0.69;26.38;1.01;32.15;1.50;31.48;1.76;32.59;1.23;28.55;2.14;29.09;0.89;28.48;0.73;25.55;0.80;27.89;2.58;28.17;2.69;41.17;1.72;11.96;0.41
18_002;30.57;0.65;30.36;0.90;29.95;1.21;31.84;1.43;28.05;0.89;26.38;1.66;27.31;0.72;27.10;0.67;23.85;0.75;23.47;1.65;25.01;1.77;0.25;45.92;1.41;0.08
18_064;29.75;0.79;29.21;0.97;28.09;1.26;29.01;1.44;27.71;0.96;25.24;1.76;28.33;0.83;25.72;0.71;23.04;0.79;22.70;1.76;28.05;2.13;0.27;40.71;1.05;0.08
18_102;30.34;0.68;28.68;0.92;28.59;1.21;29.14;1.38;27.57;0.90;25.79;1.67;25.61;0.71;25.71;0.68;23.12;0.76;24.60;1.78;27.23;1.96;0.27;37.65;0.63;0.07
18_194;22.25;0.57;20.89;0.80;22.40;1.09;22.07;1.23;19.75;0.75;18.14;1.35;20.33;0.66;18.87;0.56;15.95;0.59;16.75;1.65;18.56;1.69;0.25;37.00;1.11;0.08
18_206;17.93;0.36;17.08;0.46;17.14;0.64;17.71;0.73;16.97;0.49;15.80;0.90;18.85;0.43;18.67;0.43;17.21;0.51;15.88;0.88;17.89;1.03;0.13;32.55;1.15;0.05
